"","SITE","YEAR","SEASON","sd_TEMP","TEMP_C"
"105","AQUE","2011","COLD",1.27510886277986,12.4592440550688
"106","AQUE","2011","WARM",1.74790331528222,15.2164183673469
"107","AQUE","2012","COLD",1.47082907792056,13.1251312685223
"108","AQUE","2012","WARM",1.55531199387243,16.3390298417266
"109","AQUE","2013","COLD",1.4054224259364,13.3799284019216
"110","AQUE","2013","WARM",1.28226437230464,16.377046069291
"111","AQUE","2014","COLD",1.86288621749048,14.6011284945303
"112","AQUE","2014","WARM",1.54598062467733,18.0622408564815
"113","AQUE","2015","COLD",1.57589721965119,15.2609853087504
"114","AQUE","2015","WARM",2.28757409642266,18.45308663982
"115","AQUE","2016","COLD",1.17675549586012,14.4072345482156
"116","AQUE","2016","WARM",1.59559835496133,16.6554919410546
"117","AQUE","2017","COLD",0.688677724792951,13.9166587833816
"118","AQUE","2017","WARM",1.57660562313611,17.0785610181536
"119","AQUE","2018","COLD",1.62327884520724,13.9397757528849
"120","AQUE","2018","WARM",1.65703298981337,18.1891358135495
"121","AQUE","2019","COLD",1.31513996046506,14.0596330722892
"122","AQUE","2019","WARM",1.46582209405734,16.9140662171218
"123","AQUE","2020","COLD",1.11640645891847,14.4594669486605
"124","AQUE","2020","WARM",2.01122117231232,16.2249512071639
"125","AQUE","2021","COLD",1.27255012980348,13.4385881533672
"126","AQUE","2021","WARM",1.27775203816119,15.882434215815
"127","AQUE","2022","COLD",1.25435540069989,13.5417837462376
"128","AQUE","2022","WARM",1.77636108116697,16.3836580074124
"129","AQUE","2023","COLD",1.12176836576637,12.9348932867133
"130","AQUE","2023","WARM",1.15670683054359,15.1170636024299
"131","BULL","2003","COLD",1.52121336232487,12.1971218039773
"132","BULL","2003","WARM",1.87312281613298,15.1382646511451
"133","BULL","2004","COLD",1.13673522447907,13.4896611489776
"134","BULL","2004","WARM",1.75832818735489,16.3284783570533
"135","BULL","2005","COLD",1.53477160880838,13.5423454316464
"136","BULL","2005","WARM",1.82333532260713,14.9304931061473
"137","BULL","2006","COLD",1.44139814353356,12.8983342021431
"138","BULL","2006","WARM",1.68420275643795,15.7404080105887
"139","BULL","2007","COLD",1.11764771977126,12.718007177172
"140","BULL","2007","WARM",1.76780491608476,14.7463986879208
"141","BULL","2008","COLD",1.27277230727226,12.0274674220963
"142","BULL","2008","WARM",2.13863348729714,15.2084105207969
"143","BULL","2009","COLD",1.69865490489776,12.1386197969543
"144","BULL","2009","WARM",1.98787832216711,15.4927789279963
"145","BULL","2010","COLD",1.50243057114062,12.8846248891423
"146","BULL","2010","WARM",1.55215310768097,14.2868765253361
"147","BULL","2011","COLD",1.33993460755452,12.3455096671561
"148","BULL","2011","WARM",1.57043137344239,14.968081520488
"149","BULL","2012","COLD",1.51720084281812,12.7868750215877
"150","BULL","2012","WARM",1.62515266165456,15.9956990274501
"151","BULL","2013","COLD",1.34041423949346,13.1242750782257
"152","BULL","2013","WARM",1.37783052242923,15.7892362207427
"153","BULL","2014","COLD",1.90711104433674,14.2475749840829
"154","BULL","2014","WARM",1.71397141648522,17.498823300915
"155","BULL","2015","COLD",1.69072542194002,14.8523428722219
"156","BULL","2015","WARM",2.33343300396822,17.7106009623797
"157","BULL","2016","COLD",1.19980069884825,13.9556716625195
"158","BULL","2016","WARM",1.58984262844877,16.0306573056339
"159","BULL","2017","COLD",1.36745355433011,13.3741793342981
"160","BULL","2017","WARM",1.72429525390648,16.3180022929206
"161","BULL","2018","COLD",1.61979305336767,13.4659770201435
"162","BULL","2018","WARM",1.81879043165398,17.4193507711786
"163","BULL","2019","COLD",1.37728086277217,13.6388944241316
"164","BULL","2019","WARM",1.61469726424517,16.1623405847146
"165","BULL","2020","COLD",1.21481430321401,14.0868439611326
"166","BULL","2020","WARM",2.09006565992519,15.9839708687855
"167","BULL","2021","COLD",1.28422307889989,12.5380622059345
"168","BULL","2021","WARM",1.19928958351543,15.5198420510382
"169","BULL","2022","COLD",1.35870563295783,12.7658515747482
"170","BULL","2022","WARM",1.78522250540542,15.6780417615793
"171","CARP","2002","COLD",0.842474069154691,14.8788048835125
"172","CARP","2002","WARM",0.794257548026484,15.4314395734597
"173","CARP","2003","COLD",1.2892183176107,14.0526802101271
"174","CARP","2003","WARM",1.55407736280859,16.1124104466313
"175","CARP","2004","COLD",1.0179089732437,14.2756268503758
"176","CARP","2004","WARM",1.66537529088981,17.0683073431863
"177","CARP","2005","COLD",1.08654087892609,14.5314240432934
"178","CARP","2005","WARM",1.30453413544961,15.6820901639344
"179","CARP","2006","COLD",1.45030532174258,13.9512098123025
"180","CARP","2006","WARM",1.33172048772001,16.5421678180771
"181","CARP","2007","COLD",0.948412541855709,13.5985379414924
"182","CARP","2007","WARM",1.47877134543735,15.6760986793837
"183","CARP","2008","COLD",1.10936656105869,13.0607564653357
"184","CARP","2008","WARM",1.44598679504139,16.3680768788123
"185","CARP","2009","COLD",0.921422612480874,13.6411476432532
"186","CARP","2009","WARM",1.61434601021555,16.414099637577
"187","CARP","2010","COLD",1.1082750710475,13.7877914169111
"188","CARP","2010","WARM",1.50381999996336,15.3804466106779
"189","CARP","2011","COLD",0.937363581974098,13.278525417907
"190","CARP","2011","WARM",1.40426917716309,15.603218710493
"191","CARP","2012","COLD",1.24376787507414,13.5599435259886
"192","CARP","2012","WARM",1.42448237818764,16.3703970485592
"193","CARP","2013","COLD",1.39806774751813,14.1393336618053
"194","CARP","2013","WARM",1.14009777979498,16.4004129576334
"195","CARP","2014","COLD",1.56259878619136,15.2530874269513
"196","CARP","2014","WARM",1.64100416094349,18.5303376177736
"197","CARP","2015","COLD",1.26047140162555,15.7065489105239
"198","CARP","2015","WARM",2.42200423003506,18.3783122004357
"199","CARP","2016","COLD",1.00762931775362,15.0284125922655
"200","CARP","2016","WARM",1.46407778419164,17.1637421220958
"201","CARP","2017","COLD",0.888369066299391,14.3766494103417
"202","CARP","2017","WARM",1.28193912588619,17.4363028027164
"203","CARP","2018","COLD",1.2928406868576,14.4559618158919
"204","CARP","2018","WARM",1.42724622857613,18.4548931675589
"205","CARP","2019","COLD",0.957864191062088,14.6315465590391
"206","CARP","2019","WARM",1.3023783137412,17.1842780720168
"207","CARP","2020","COLD",0.786251492021897,15.0541920867309
